formula,target
Al0.7In0.3P1,2.3
Zn0.01Ga0.99As0.99Se0.01,1.39
TlAsS2,2.15
ZnCu2SiTe4,1.47
In1Sb0.1As0.9,0.14
Bi0.4Sb1.6Te3,0.21
TlCr5Se8,0.67
Ce(InS2)3,1.11
Th2GeSe2,1.98
SiP,2.0
VCu3S4,1.0
EuN,1.25
In5AgTe8,0.47
Nd3Te4,1.6
Y(CuTe)3,0.72
KSnAuS3,2.3
In1Ga1Cu1S3.5,1.84
Ce2(SnSe3)3,0.3
CsGaS3,3.0
CsZn4In5Se12,1.61
Ba2Cd(BO2)6,4.59
SrSe,4.42
La3LuSe6,1.26
Nb2Pb2Se4O15,2.79
Li2In2GeSe6,2.3
CsGe5BO12,4.89
Li3Bi,0.7
K2Ti(CuS2)2,2.04
YbCe2CuS5,1.37
Zn4.5Ga1Sn0.5O7,3.0
Pb3O4,2.12
La5Cu6.33S7O4,2.0
GePbS3,2.4
KPPbO4,4.44
CeMoO4F,2.52
ScSbPd,0.23
La2YbCuS5,1.45
NdLuSe3,1.61
BiSI,1.56
Bi0.002Te0.003Pb0.999Se0.999,0.79
In1.8Cu0.2Se2.8,1.26
Eu4Te7,0.31
YbAs,1.02
Na2Se,2.0
SrTaNO2,1.99
Li2B4O7,7.3
Si0.08Ge0.92,0.72
La3In1Ge0.5S7,2.61
In0.01Ga0.99As1,1.4
RbTa3(TeO6)2,3.88
Ga1.5Cu0.5S2.5,2.43
KBi3S5,1.21
Ge0.2Te1Pb0.8,0.4
Bi24BO39,2.91
Zn2InCuSe4,1.1
SrIn2(GeIr)4,0.25
BaCuSbS3,2.0
LiAsS2,1.6
EuAl2O4,2.74
K2Mo2Se2O11,3.3
Ni(CN)2,2.0
Zn0.3Ga0.7P0.7S0.3,2.3
CaMg2N2,3.25
In1.6Cu0.4Se2.6,1.32
RbNb3(TeO6)2,3.49
KSc(SeO3)2,5.4
Li3AlTe4O11,3.63
Ba5Ga6SnP12,1.21
CsF,10.0
In2HgSe4,0.6
In3CuS5,1.2
Ba3InS4Cl,3.42
HfHg4(AsCl3)2,2.47
TmAs,1.18
Cd4P2I3,2.17
Cs2Ba3(P2O7)2,6.31
H7Se2NO6,4.81
Nd2O3,4.4
Sn1Se0.2S0.8,1.03
TlGaS2,3.4
Zn0.9Hg0.1Se1,1.75
Nd2(SnSe3)3,0.5
Ba3Tb2(PS4)4,3.37
Ca4Bi6O13,2.76
Cs3As,0.6
MnPSe3,2.5
RhSeS,0.7
Ca5(Bi7O13)2,2.6
Tl0.01Te1Pb0.99,0.59
CsYbMnSe3,1.59
In0.3Ga0.7As0.7P0.3,1.67
ZnCu2SnTe4,1.39
Gd6Ge2.5S14,2.2
Cs4Ge(PSe3)4,2.0
Ba2SmGaTe5,1.04
Zr3O,0.2
La4InSbSe9,1.76
Ba4InAgSe6,2.41
Ce2Fe(SeO)2,0.64
Ga1.005Sb0.995Te0.015,0.68
K2S,2.1
Sb2Os,0.2
UO,1.5
GdB66,1.27
CoAsSe,0.2
K2Th(CuS2)2,2.17
FeAsSe,0.6
MgSiN2,4.05
In4As5(BrO4)3,4.22
K2Al2B2O7,6.89
In0.3Ga0.7P1,2.2
NaY(Te2O5)2,3.9
In2HgS4,2.0
GaAgGe5Se12,2.14
Al0.4In0.6P1,2.12
K4GeSe4,0.64
Ho(CuSe)3,0.16
As2Os,0.9
LiGaTe2,2.31
YSbPd,0.27
Cd0.1Ga0.9Sb0.9Te0.1,0.78
Ga2SiPbSe6,2.17
Tb(CuSe)3,0.16
CsInS2,3.4
Ge0.01Te1Pb0.99,0.32
BiSe,0.4
Ta2Tl4S11,1.26
GdCd4B3O10,3.8
Cd0.35Hg0.65Te1,0.28
Al0.1Cd0.9Sb0.1Te0.9,1.36
Ba3Er2(PS4)4,3.3
K2Cd2Te3,1.93
Cs4In8GeSe16,2.2
Cd3In2(Te2S)2,1.23
Gd(CuTe)3,0.52
MnSi,0.6
Ga1.005Sb0.995Se0.015,0.64
Ag2PdO2,0.18
TeI4,1.1
Pr2Se3,1.8
Zn0.4Hg0.6Se1,0.42
BaUSe3,1.0
Cd0.75In2.1Ag0.2Te4,0.54
Ge3Bi3O10.5,3.3
NaSbF6,3.76
Ti6H2O13,3.4
TlSbSe2,0.82
FeP4,0.32
CsCd4Ga5Te12,1.67
La2O3,5.4
Al0.01Ga0.99P1,2.27
YbSb,1.0
K6Cd4Sn3Se13,2.33
PtSe2,0.1
YVTeO10,2.2
ErSe2,1.07
Ga2PbS4,2.38
Ga1Sb0.95As0.05,1.28
Si0.6Ge0.4,0.94
In3CuSe5,0.6
Pb2SeN2O9,3.76
Ca2Bi2O5,3.34
Sr2La2Pt1O7.13,2.52
CaI2,5.98
In11.3Bi14.7S38,1.45
PSe,2.5
Te0.6Se0.4,0.7
BaNa2GeS4,3.7
TeSe,1.58
SmBiW2O9,3.39
LaTaN2O,2.0
KY(TeO3)2,3.8
Cd(In15Te23)2,1.17
Cs2Ti(AgS2)2,2.44
CsAg5Te3,0.65
Sc(CuSe)3,0.3
Cs2Hg6S7,1.63
Mg5B3O9F,5.63
Si0.0645Ge0.9355,1.04
Ba4Sb3S8Cl,2.09
CuPS3,2.2
Sn1Se0.99S0.01,0.89
Dy1Te1.4,0.6
TiTlS2,1.0
LaGaS3,2.5
Sm(InS2)3,1.18
SbSeBr,1.84
BaPrO3,2.0
LiTa3(BiO3)4,3.5
NaH3(SeO3)2,4.9
In0.9Ga0.1As0.1P0.9,1.32
CoPS,0.4
LiMgAs,0.7
B4H2Pb6O13,3.24
Cs2Cd2Bi2S5,1.7
Ba2YInTe5,1.36
Cd0.23Hg0.77Te1,0.12
Ga1.002Sb0.998Se0.006,0.7
Mn(PbO2)2,1.5
K2Au(IO3)5,2.65
CuBiSeO,0.82
GaCuO2,1.47
Tl0.04Te1Pb0.96,0.57
Eu(BiTe2)2,0.44
CeTl2P2S7,2.4
AgAsSe2,1.4
La3Te4,0.43
Cd0.9Hg0.1Se1,0.35
Bi1.6Sb0.4Te3,0.16
Ga1.1Cu0.9Se2.1,1.59
CsDy9(Cd2Se9)2,1.99
RbMn4In5Se12,1.76
K2Ho4Cu4S9,2.43
La3Ga1Ge0.5S7,2.54
Cd1Se0.35S0.65,2.13
Cd0.2In2.4Ag0.4Te4,0.42
YN,1.9
Sn0.01Te1Pb0.99,0.23
Tl2Cu2SnS4,1.4
CuSbS2,1.38
Bi2SI2O11,3.74
Pr2Ge2Se7,1.32
K1.46Sn3.09Bi7.45Se15,0.39
K3NaSn3Se8,2.2
Cs3PW3O13,3.27
CoP3,0.45
BaLa2Te5O14,3.81
Gd(CuSe)3,0.14
K2SmP2S7,2.59
In0.4Ga0.6As1,0.81
CsH3(SeO3)2,4.77
Ge0.05Pb0.95Se1,0.28
K2Hg3(GeS4)2,2.64
BiSCl,1.89
SmSnTe2,0.52
BaNa2SnSe4,2.46
Sn0.07Pb0.93Se1,0.08
Ge0.06Te0.06Pb0.94Se0.94,0.28
Bi0.04Te0.06Pb0.98Se0.98,0.28
PbN6,2.98
InAgO2,4.2
CrB2(PbO2)6,1.8
Yb(CuS)3,1.56
Eu7(Ga3Sb4)2,0.6
Dy(CuTe)3,0.34
Ge0.3Pb0.7Se1,0.4
RbSbTe2,0.38
CsBiS2,1.39
Li3AlP2,2.75
Sr5V3O12F,4.5
RbAg5(PS4)2,2.4
Sn0.2Te0.2Pb0.8Se0.8,0.14
CdInCuSe3,1.66
Ga2Cu1S3.5,2.42
Cs2Cd3(B4O7)4,4.76
SiB3,2.0
Cs3Bi2I9,1.8
Cs5Bi(PSe3)4,1.85
Sn1Se0.01S0.99,1.08
Ga1.6Cu0.4S2.6,2.45
In1.9Cu0.1Se2.9,1.45
Th2Se5,0.37
RbAg2TeS6,2.04
Ga1As0.5P0.5,2.0
AlAgSe2,2.55
La2V2IO9,3.63
Si0.94Ge0.06,1.06
Pr10Se14O,1.89
In2O3,2.8
YbTe,1.8
Tl2GeTe3,0.36
CaZnSO,3.7
Ga2HgS4,2.79
Cd0.1In0.9Te0.1As0.9,0.69
La5In3(S3O)3,2.6
CuBiSO,1.07
TlPS2,1.6
CdCl2,5.7
HgS,2.1
TeI,1.1
CsCd4In5Se12,1.62
Ba2DyGaSe5,2.35
BaGe2,1.0
Ba2ScTaO6,4.19
Dy3Al0.5Si1S7,2.22
K2Ta15O32,0.33
Ga1.5Cu0.5Se2.5,1.76
KTbSe4,1.65
BaCuTeF,2.3
Ba2GaBiSe5,2.21
Li3GaTe4O11,3.85
Ba12In4S19,2.56
Ba8Hg4Se7S5,1.98
K3Ga3Ge7Se20,2.23
In2As2Cl2O5,4.62
Na7.36Ga7.24Sn4.78Se24,1.5
Ga1.01Sb0.99Se0.03,0.62
UHg4(AsCl3)2,1.9
ScTlTe2,0.85
In0.001Te1Pb0.999,0.3
BiBPbO4,3.2
GaGeTe,1.1
Rb1.45Sb7.45Pb3.1Se15,0.45
BiIO3F2,3.97
BaBSbS4,2.34
YbSnTe2,0.75
KNbSe2O7,4.0
KBiSe2,0.61
Ga1Sb0.25As0.75,0.65
LiSm3SiS7,2.83
Ba3BSbS6,2.62
Pr2GeSe5,1.8
LiInTe2,1.46
NbCu3Se4,2.45
K2Sn3(SbS5)2,2.3
SrSnO3,4.1
Ge0.01Te0.99Pb0.99S0.01,0.32
Te0.4Se0.6,1.2
K8Ce2I18O53,2.34
BiBr3,2.66
GdH2NO5,4.84
RbYbZnSe3,2.07
Pr2Te4O11,3.65
Ba2ZnSe3,2.75
Ba3Gd2(PS4)4,3.41
TlSnAuSe3,1.2
LiMgBi,0.4
Ga1.95Cu0.05S2.95,2.64
RbCd4In5Se12,1.57
Ba2DyInSe5,2.27
Ca10Ge16(B2O17)3,5.47
Ce3MoO7,2.0
K6CdTe4,2.51
Eu3(InP2)2,0.45
Rb3Bi2Br9,2.62
RbPPbO4,4.35
Ba4Ga5CuSe12,1.45
CBr4,3.7
Ba4Ga5AgS12,2.52
La2Ga0.33Sb1S5,1.76
CI4,2.26
InCuS2,1.5
CsBiSe2,1.07
Cd4P2Br3,2.19
Cs10Cd4Sn4S17,3.16
KInSnS4,2.3
In0.2Ga0.8As0.8P0.2,1.58
K2NbCuS4,2.82
